comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14
Tierra Amarilla,4,4,4,2,0,1,2,4,2,12,13,10,5,0,1,1,2,3,6,10
Vallenar,0,0,0,0,7,12,12,14,13,19,15,13,5,5,5,10,16,27,27,33
Andacollo,0,0,0,0,0,0,0,2,3,2,1,1,0,0,1,1,3,4,6,2
Canela,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,2
Combarbala,0,0,0,0,0,0,0,0,0,2,1,3,3,3,1,3,3,8,4,1
Coquimbo,1,2,0,2,3,4,6,8,9,11,14,17,11,9,17,16,55,95,102,127
Illapel,13,12,10,7,0,0,0,1,1,1,0,0,0,0,2,5,8,20,20,10
La Higuera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2
La Serena,2,1,1,2,4,5,3,9,12,17,26,28,41,35,38,60,44,66,93,116
Los Vilos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4
Monte Patria,0,0,0,0,0,0,0,0,0,0,3,3,13,13,9,20,17,14,17,24
Ovalle,0,1,0,0,0,0,1,2,5,13,20,27,24,23,26,50,55,101,108,125
Paiguano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1
Punitaqui,0,0,0,0,1,1,1,2,4,6,5,1,0,0,2,3,5,11,10,3
Rio Hurtado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,5
Salamanca,3,3,3,3,1,1,0,1,2,3,2,0,1,1,2,6,7,16,15,7
Vicuna,0,0,0,0,0,0,0,1,1,1,4,3,2,4,4,2,3,4,2,3
Algarrobo,0,0,0,0,0,1,1,1,1,2,5,9,13,7,5,8,6,12,17,18
Cabildo,0,0,0,1,0,3,4,5,2,2,1,1,2,3,4,3,5,9,7,4
Calera,1,3,5,6,9,9,3,2,0,3,5,6,13,12,12,16,19,21,33,42
Calle Larga,2,2,3,4,2,1,0,0,4,4,5,2,9,10,20,17,18,29,23,20
Cartagena,2,2,0,0,4,4,6,4,6,5,8,5,6,8,9,10,11,12,13,9
Casablanca,2,1,1,1,0,0,0,0,1,1,10,9,10,10,7,5,8,13,21,20
Catemu,0,0,0,0,0,0,0,1,1,1,1,3,3,4,2,2,8,15,14,17
Concon,1,2,1,1,3,4,8,6,6,5,6,11,12,8,6,15,12,20,26,33
El Quisco,2,3,2,4,3,3,1,1,5,7,9,9,7,7,13,12,18,12,14,12
El Tabo,0,0,1,1,3,2,5,3,1,3,10,7,8,5,6,9,20,23,14,1
Hijuelas,0,0,0,1,0,0,0,0,0,0,1,2,4,5,10,10,13,9,7,11
Isla de Pascua,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Fernandez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Cruz,3,2,2,2,0,0,1,2,6,8,8,6,5,2,3,2,5,8,10,11
La Ligua,1,0,0,0,0,0,0,1,1,1,0,1,5,6,7,4,11,22,10,19
